"ensemble_id","terminal_year","sb_recent_period","sb0_recent_period","recent_depletion_period","f_recent_period","sb_recent_kt","sb0_recent_kt","sb_recent_sb0","recent_mean_depletion","sb_recent_sbmsy","f_recent_fmsy","historical_target_period","historical_target_depletion","recent_historical_target_ratio","below_lrp_020","below_sbmsy","above_fmsy"
"ensemble-038",2024,"2021–2024","2014–2023","2021–2024","2020–2023",276.706625,1786.9355,0.154849811311041,0.154939529737011,0.866332576706324,1.25391849529781,"2012–2015",0.163895429441107,0.945356013071043,TRUE,TRUE,TRUE
"ensemble-039",2024,"2021–2024","2014–2023","2021–2024","2020–2023",519.8785625,2045.53425,0.254152949284521,0.252870531822389,1.4262786351166,0.922509225092251,"2012–2015",0.267752278354027,0.944419720261123,FALSE,FALSE,FALSE
"ensemble-040",2024,"2021–2024","2014–2023","2021–2024","2020–2023",903.6569375,2836.35675,0.318597770714139,0.316512573961685,1.69287549175721,0.850340136054422,"2012–2015",0.341521010315962,0.926773359181796,FALSE,FALSE,FALSE
"ensemble-041",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1677.876125,3897.841,0.430462947308523,0.42833506887617,1.86492844837168,0.669792364367046,"2012–2015",0.442549132392645,0.967881388808454,FALSE,FALSE,FALSE
"ensemble-042",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1033.7364375,3567.01525,0.289804322395314,0.290699543340388,1.21174122318603,0.969932104752667,"2012–2015",0.33058117708732,0.879359030364884,FALSE,FALSE,FALSE
"ensemble-043",2024,"2021–2024","2014–2023","2021–2024","2020–2023",433.50975,2186.086,0.198304069464788,0.197895876241323,1.08134135694687,1.12511251125113,"2012–2015",0.219595433342292,0.90118393278632,TRUE,FALSE,TRUE
"ensemble-044",2024,"2021–2024","2014–2023","2021–2024","2020–2023",323.1106875,1228.01375,0.263116506228045,0.262416467099751,1.5320563655761,0.857632933104631,"2012–2015",0.261041673972011,1.00526656570509,FALSE,FALSE,FALSE
"ensemble-045",2024,"2021–2024","2014–2023","2021–2024","2020–2023",844.031625,2888.4395,0.292210248821206,0.291796346248144,1.47146378138075,0.915750915750916,"2012–2015",0.313851909545912,0.929726209632821,FALSE,FALSE,FALSE
"ensemble-046",2024,"2021–2024","2014–2023","2021–2024","2020–2023",353.9816875,875.262,0.404429402281831,0.400724290776114,2.56694479695431,0.464684014869888,"2012–2015",0.412918410365749,0.970468452644593,FALSE,FALSE,FALSE
"ensemble-047",2024,"2021–2024","2014–2023","2021–2024","2020–2023",729.960375,2323.11825,0.314215763661622,0.311725129179174,1.50943005583127,0.799360511590728,"2012–2015",0.335919172543142,0.927976592759495,FALSE,FALSE,FALSE
"ensemble-048",2024,"2021–2024","2014–2023","2021–2024","2020–2023",263.4379375,2173.72375,0.121192004043752,0.121394830868871,0.673065757537046,1.50625094140684,"2012–2015",0.130026693113765,0.933614690659388,TRUE,TRUE,TRUE
"ensemble-049",2024,"2021–2024","2014–2023","2021–2024","2020–2023",265.825875,1352.2565,0.196579476600778,0.195840476742364,1.19687471859523,1.03082156478714,"2012–2015",0.20062990137768,0.976128061657668,TRUE,FALSE,TRUE
"ensemble-050",2024,"2021–2024","2014–2023","2021–2024","2020–2023",479.9514375,1722.44575,0.278645314373472,0.277057795145122,1.50502175446849,0.819000819000819,"2012–2015",0.294416851509093,0.94103918890854,FALSE,FALSE,FALSE
"ensemble-051",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1082.697625,3136.32975,0.345211668192734,0.342999148586548,1.80509774091364,0.783699059561129,"2012–2015",0.358838076633558,0.955860514593092,FALSE,FALSE,FALSE
"ensemble-052",2024,"2021–2024","2014–2023","2021–2024","2020–2023",266.9683125,1733.263,0.154026430207072,0.153909613211734,0.863137124151309,1.28832775057975,"2012–2015",0.161793249374619,0.951273392472443,TRUE,TRUE,TRUE
"ensemble-053",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1099.265,2884.17725,0.381136422874149,0.378143117737788,1.92414668300368,0.707714083510262,"2012–2015",0.395735883558484,0.955544173395395,FALSE,FALSE,FALSE
"ensemble-054",2024,"2021–2024","2014–2023","2021–2024","2020–2023",694.129125,2010.85275,0.345191424384506,0.342739124433468,1.8329261288619,0.712758374910905,"2012–2015",0.358390904920313,0.956327629211672,FALSE,FALSE,FALSE
"ensemble-055",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1162.269,3045.5135,0.381633179429347,0.37949621115209,1.66109618407889,0.731528895391368,"2012–2015",0.40045663083045,0.947658702429541,FALSE,FALSE,FALSE
"ensemble-056",2024,"2021–2024","2014–2023","2021–2024","2020–2023",326.2245,1029.056,0.317013359817153,0.315553832191052,2.02372518610422,0.644329896907216,"2012–2015",0.31387769003656,1.00534011243136,FALSE,FALSE,FALSE
"ensemble-057",2024,"2021–2024","2014–2023","2021–2024","2020–2023",317.6981875,992.8645,0.319981414885918,0.317938195969759,1.90580796340732,0.638569604086845,"2012–2015",0.327717044053219,0.970160697281672,FALSE,FALSE,FALSE
