"ensemble_id","Component","Value"
"ensemble-003","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-003","Overall Mean Selectivity Penalty",0
"ensemble-003","Q dev penalty",0
"ensemble-003","Regional Recruitment Deviates Penalty Contribution",142.104581788
"ensemble-003","Regional Recruitment Distribution Penalty Contribution",0.127802273946
"ensemble-003","Reset Penalty Contribution",0.000239125
"ensemble-003","Seasonal Catchability Penalty Contribution",0
"ensemble-003","Selectivity Deviations Penalty",0
"ensemble-003","Selectivity Form Penalty (all Fisheries)",0.389024681147
"ensemble-003","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-003","Steepness prior",0.671707965314
"ensemble-003","Tagged Fish Reporting Rate Penalty Contribution",17.0366032241
"ensemble-003","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-003","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-003","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-003","Time Block Mean Selectivity Penalty",1.8863025673e-05
"ensemble-003","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-003","Unclassified objective residual",90.4125935583288
"ensemble-004","Tag",6709.81276701658
"ensemble-004","Length frequency",84845.4080049656
"ensemble-004","Weight frequency",0
"ensemble-004","Age",3499.7319333074
"ensemble-004","CPUE",-1070.0903247209
"ensemble-004","Catch",0
"ensemble-004","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-004","Average Regional Recruitment Distribution Penalty Contribution",3.013838068e-09
"ensemble-004","Do Everything Calc Penalty Contribution",1.10069290946
"ensemble-004","Effort dev penalty",0
"ensemble-004","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-004","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-004","Incident Selectivity Curvature Penalty",3.33416785783
"ensemble-004","Initial Population Age Composition Penalty Contribution",0.919369097947
"ensemble-004","Initial Population Recruitment Penalty Contribution",3.44478618597e-07
"ensemble-004","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-004","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-004","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-004","Mean length penalty",0
"ensemble-004","Movement Diffusion Coefficients Penalty Contribution",0.0576183531369
"ensemble-004","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-004","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-004","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-004","Overall Mean Selectivity Penalty",0
"ensemble-004","Q dev penalty",0
"ensemble-004","Regional Recruitment Deviates Penalty Contribution",144.12021465
"ensemble-004","Regional Recruitment Distribution Penalty Contribution",0.175011855615
"ensemble-004","Reset Penalty Contribution",0.000225576
"ensemble-004","Seasonal Catchability Penalty Contribution",0
"ensemble-004","Selectivity Deviations Penalty",0
"ensemble-004","Selectivity Form Penalty (all Fisheries)",0.336768841306
"ensemble-004","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-004","Steepness prior",0.335237812134
"ensemble-004","Tagged Fish Reporting Rate Penalty Contribution",149.431650639
"ensemble-004","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-004","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-004","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-004","Time Block Mean Selectivity Penalty",3.92688264128e-07
"ensemble-004","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-004","Unclassified objective residual",63.954242095715
"ensemble-005","Tag",7641.3881324176
"ensemble-005","Length frequency",90047.8750937039
"ensemble-005","Weight frequency",0
"ensemble-005","Age",3486.3117401395
"ensemble-005","CPUE",-1046.433780691
"ensemble-005","Catch",0
"ensemble-005","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-005","Average Regional Recruitment Distribution Penalty Contribution",1.00020542959e-08
"ensemble-005","Do Everything Calc Penalty Contribution",0.264815797253
"ensemble-005","Effort dev penalty",0
"ensemble-005","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-005","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-005","Incident Selectivity Curvature Penalty",3.45251917161
"ensemble-005","Initial Population Age Composition Penalty Contribution",1.48882751468
"ensemble-005","Initial Population Recruitment Penalty Contribution",4.2637212507e-09
"ensemble-005","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-005","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-005","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-005","Mean length penalty",0
"ensemble-005","Movement Diffusion Coefficients Penalty Contribution",0.0491244598949
"ensemble-005","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-005","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-005","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-005","Overall Mean Selectivity Penalty",0
"ensemble-005","Q dev penalty",0
"ensemble-005","Regional Recruitment Deviates Penalty Contribution",144.467758585
"ensemble-005","Regional Recruitment Distribution Penalty Contribution",0.144909482756
"ensemble-005","Reset Penalty Contribution",0.000236428
"ensemble-005","Seasonal Catchability Penalty Contribution",0
"ensemble-005","Selectivity Deviations Penalty",0
"ensemble-005","Selectivity Form Penalty (all Fisheries)",0.252990568871
"ensemble-005","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-005","Steepness prior",0.530260478297
"ensemble-005","Tagged Fish Reporting Rate Penalty Contribution",31.6833921362
"ensemble-005","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-005","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-005","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-005","Time Block Mean Selectivity Penalty",2.21779430376e-08
"ensemble-005","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-005","Unclassified objective residual",80.5272733800084
"ensemble-006","Tag",7373.10566396858
"ensemble-006","Length frequency",79844.2505587789
"ensemble-006","Weight frequency",0
"ensemble-006","Age",3604.74283702582
"ensemble-006","CPUE",-1050.1338442431
"ensemble-006","Catch",0
"ensemble-006","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-006","Average Regional Recruitment Distribution Penalty Contribution",5.03858075263e-08
"ensemble-006","Do Everything Calc Penalty Contribution",0.733147970732
"ensemble-006","Effort dev penalty",0
"ensemble-006","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-006","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-006","Incident Selectivity Curvature Penalty",3.35645126908
"ensemble-006","Initial Population Age Composition Penalty Contribution",1.78041760596
"ensemble-006","Initial Population Recruitment Penalty Contribution",2.28829869295e-08
"ensemble-006","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-006","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-006","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-006","Mean length penalty",0
"ensemble-006","Movement Diffusion Coefficients Penalty Contribution",0.0475701065709
"ensemble-006","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-006","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-006","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-006","Overall Mean Selectivity Penalty",0
"ensemble-006","Q dev penalty",0
"ensemble-006","Regional Recruitment Deviates Penalty Contribution",143.512534207
"ensemble-006","Regional Recruitment Distribution Penalty Contribution",0.164503242255
"ensemble-006","Reset Penalty Contribution",0.000220759
"ensemble-006","Seasonal Catchability Penalty Contribution",0
"ensemble-006","Selectivity Deviations Penalty",0
"ensemble-006","Selectivity Form Penalty (all Fisheries)",1.38963633951
"ensemble-006","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-006","Steepness prior",0.666633770883
"ensemble-006","Tagged Fish Reporting Rate Penalty Contribution",19.5672580444
"ensemble-006","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-006","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-006","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-006","Time Block Mean Selectivity Penalty",5.70606744077e-07
"ensemble-006","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-006","Unclassified objective residual",96.7005299508746
"ensemble-007","Tag",7793.82396881964
"ensemble-007","Length frequency",83567.4365084129
"ensemble-007","Weight frequency",0
"ensemble-007","Age",3529.6526444603
"ensemble-007","CPUE",-1044.5456677953
"ensemble-007","Catch",0
"ensemble-007","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-007","Average Regional Recruitment Distribution Penalty Contribution",2.05929495678e-09
"ensemble-007","Do Everything Calc Penalty Contribution",0.386653927934
"ensemble-007","Effort dev penalty",0
"ensemble-007","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-007","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-007","Incident Selectivity Curvature Penalty",3.98716856555
"ensemble-007","Initial Population Age Composition Penalty Contribution",1.04468046141
"ensemble-007","Initial Population Recruitment Penalty Contribution",3.36864330264e-08
"ensemble-007","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-007","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-007","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-007","Mean length penalty",0
"ensemble-007","Movement Diffusion Coefficients Penalty Contribution",0.0479492015612
"ensemble-007","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-007","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-007","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-007","Overall Mean Selectivity Penalty",0
"ensemble-007","Q dev penalty",0
"ensemble-007","Regional Recruitment Deviates Penalty Contribution",144.765457574
"ensemble-007","Regional Recruitment Distribution Penalty Contribution",0.149360429853
"ensemble-007","Reset Penalty Contribution",0.000247754
"ensemble-007","Seasonal Catchability Penalty Contribution",0
"ensemble-007","Selectivity Deviations Penalty",0
"ensemble-007","Selectivity Form Penalty (all Fisheries)",0.173613160745
"ensemble-007","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-007","Steepness prior",0.354240428451
"ensemble-007","Tagged Fish Reporting Rate Penalty Contribution",79.9029852737
"ensemble-007","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-007","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-007","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-007","Time Block Mean Selectivity Penalty",5.11895734689e-08
"ensemble-007","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-007","Unclassified objective residual",66.0767135174392
"ensemble-008","Tag",6664.36816057473
"ensemble-008","Length frequency",80555.9085722517
"ensemble-008","Weight frequency",0
"ensemble-008","Age",3636.29495028931
"ensemble-008","CPUE",-1068.5168038395
"ensemble-008","Catch",0
"ensemble-008","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-008","Average Regional Recruitment Distribution Penalty Contribution",2.01521288545e-08
"ensemble-008","Do Everything Calc Penalty Contribution",2.60902802015
"ensemble-008","Effort dev penalty",0
"ensemble-008","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-008","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-008","Incident Selectivity Curvature Penalty",3.20494895335
"ensemble-008","Initial Population Age Composition Penalty Contribution",1.29006833503
"ensemble-008","Initial Population Recruitment Penalty Contribution",1.57348851586e-08
"ensemble-008","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-008","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-008","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-008","Mean length penalty",0
"ensemble-008","Movement Diffusion Coefficients Penalty Contribution",0.0649725500895
"ensemble-008","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-008","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-008","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-008","Overall Mean Selectivity Penalty",0
"ensemble-008","Q dev penalty",0
"ensemble-008","Regional Recruitment Deviates Penalty Contribution",139.143627198
"ensemble-008","Regional Recruitment Distribution Penalty Contribution",0.166379955801
"ensemble-008","Reset Penalty Contribution",0.000222033
"ensemble-008","Seasonal Catchability Penalty Contribution",0
"ensemble-008","Selectivity Deviations Penalty",0
"ensemble-008","Selectivity Form Penalty (all Fisheries)",0.426582564011
"ensemble-008","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-008","Steepness prior",0.404213871942
"ensemble-008","Tagged Fish Reporting Rate Penalty Contribution",72.7268227967
"ensemble-008","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-008","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-008","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-008","Time Block Mean Selectivity Penalty",2.30951343383e-07
"ensemble-008","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-008","Unclassified objective residual",71.0079230758711
"ensemble-009","Tag",7136.04899973383
"ensemble-009","Length frequency",79222.4702361625
"ensemble-009","Weight frequency",0
"ensemble-009","Age",3590.70112031304
"ensemble-009","CPUE",-1058.3600020393
"ensemble-009","Catch",0
"ensemble-009","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-009","Average Regional Recruitment Distribution Penalty Contribution",5.71807845517e-09
"ensemble-009","Do Everything Calc Penalty Contribution",0.248344318892
"ensemble-009","Effort dev penalty",0
"ensemble-009","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-009","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-009","Incident Selectivity Curvature Penalty",3.65899921514
"ensemble-009","Initial Population Age Composition Penalty Contribution",1.17616507195
"ensemble-009","Initial Population Recruitment Penalty Contribution",3.19287695622e-07
"ensemble-009","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-009","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-009","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-009","Mean length penalty",0
"ensemble-009","Movement Diffusion Coefficients Penalty Contribution",0.0468494261664
"ensemble-009","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-009","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-009","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-009","Overall Mean Selectivity Penalty",0
"ensemble-009","Q dev penalty",0
"ensemble-009","Regional Recruitment Deviates Penalty Contribution",139.426004856
"ensemble-009","Regional Recruitment Distribution Penalty Contribution",0.173154031018
"ensemble-009","Reset Penalty Contribution",0.000241682
"ensemble-009","Seasonal Catchability Penalty Contribution",0
"ensemble-009","Selectivity Deviations Penalty",0
"ensemble-009","Selectivity Form Penalty (all Fisheries)",0.230124293609
"ensemble-009","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-009","Steepness prior",0.328150623539
"ensemble-009","Tagged Fish Reporting Rate Penalty Contribution",102.567699492
"ensemble-009","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-009","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-009","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-009","Time Block Mean Selectivity Penalty",2.07929929275e-07
"ensemble-009","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-009","Unclassified objective residual",71.6790327992494
"ensemble-010","Tag",7880.04806934805
"ensemble-010","Length frequency",80422.2422963174
"ensemble-010","Weight frequency",0
"ensemble-010","Age",3599.65661027573
"ensemble-010","CPUE",-1036.2923692655
"ensemble-010","Catch",0
"ensemble-010","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-010","Average Regional Recruitment Distribution Penalty Contribution",5.23510834682e-09
"ensemble-010","Do Everything Calc Penalty Contribution",0.169139958294
"ensemble-010","Effort dev penalty",0
"ensemble-010","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-010","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-010","Incident Selectivity Curvature Penalty",3.16666260719
"ensemble-010","Initial Population Age Composition Penalty Contribution",0.922586217225
"ensemble-010","Initial Population Recruitment Penalty Contribution",8.02190716883e-08
"ensemble-010","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-010","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-010","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-010","Mean length penalty",0
"ensemble-010","Movement Diffusion Coefficients Penalty Contribution",0.0470742960299
"ensemble-010","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-010","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-010","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-010","Overall Mean Selectivity Penalty",0
"ensemble-010","Q dev penalty",0
"ensemble-010","Regional Recruitment Deviates Penalty Contribution",146.224104063
"ensemble-010","Regional Recruitment Distribution Penalty Contribution",0.160015004192
"ensemble-010","Reset Penalty Contribution",0.000243872
"ensemble-010","Seasonal Catchability Penalty Contribution",0
"ensemble-010","Selectivity Deviations Penalty",0
"ensemble-010","Selectivity Form Penalty (all Fisheries)",0.341914446012
"ensemble-010","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-010","Steepness prior",0.303793360184
"ensemble-010","Tagged Fish Reporting Rate Penalty Contribution",112.094275874
"ensemble-010","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-010","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-010","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-010","Time Block Mean Selectivity Penalty",4.37511516793e-07
"ensemble-010","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-010","Unclassified objective residual",62.1618655530619
"ensemble-011","Tag",6599.7776378097
"ensemble-011","Length frequency",80678.4445703403
"ensemble-011","Weight frequency",0
"ensemble-011","Age",3857.5507940731
"ensemble-011","CPUE",-1185.039542763
"ensemble-011","Catch",0
"ensemble-011","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-011","Average Regional Recruitment Distribution Penalty Contribution",4.59493776361e-09
"ensemble-011","Do Everything Calc Penalty Contribution",0.540343408051
"ensemble-011","Effort dev penalty",0
"ensemble-011","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-011","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-011","Incident Selectivity Curvature Penalty",2.81930404835
"ensemble-011","Initial Population Age Composition Penalty Contribution",1.32540821231
"ensemble-011","Initial Population Recruitment Penalty Contribution",1.99390380212e-07
"ensemble-011","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-011","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-011","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-011","Mean length penalty",0
"ensemble-011","Movement Diffusion Coefficients Penalty Contribution",0.0499625493342
"ensemble-011","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-011","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-011","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-011","Overall Mean Selectivity Penalty",0
"ensemble-011","Q dev penalty",0
"ensemble-011","Regional Recruitment Deviates Penalty Contribution",134.103831468
"ensemble-011","Regional Recruitment Distribution Penalty Contribution",0.132994042475
"ensemble-011","Reset Penalty Contribution",0.000253786
"ensemble-011","Seasonal Catchability Penalty Contribution",0
"ensemble-011","Selectivity Deviations Penalty",0
"ensemble-011","Selectivity Form Penalty (all Fisheries)",1.40217451621
"ensemble-011","Spline Selectivity Bound Penalty (all Fisheries)",0
"ensemble-011","Steepness prior",0.283429715536
"ensemble-011","Tagged Fish Reporting Rate Penalty Contribution",134.801663426
"ensemble-011","Temporal Recruitment Deviates Curve Penalty Contribution",0
"ensemble-011","Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-011","Temporal Recruitment Deviates Trend Penalty Contribution",0
"ensemble-011","Time Block Mean Selectivity Penalty",1.74714460854e-06
"ensemble-011","von Bertalanffy Deviates Penalty Contribution",0
"ensemble-011","Unclassified objective residual",74.3996607511508
"ensemble-012","Tag",6383.16054309372
"ensemble-012","Length frequency",84974.7150327665
"ensemble-012","Weight frequency",0
"ensemble-012","Age",3557.54529466156
"ensemble-012","CPUE",-1036.809779726
"ensemble-012","Catch",0
"ensemble-012","Average Regional Biomass Distribution Penalty Contribution",0
"ensemble-012","Average Regional Recruitment Distribution Penalty Contribution",8.71409611136e-11
"ensemble-012","Do Everything Calc Penalty Contribution",0.728510475367
"ensemble-012","Effort dev penalty",0
"ensemble-012","Implicit Fm Level Regression Coefficients Penalty Contribution",0
"ensemble-012","Implicit Fm Level Regression Penalty Contribution",0
"ensemble-012","Incident Selectivity Curvature Penalty",3.258703121
"ensemble-012","Initial Population Age Composition Penalty Contribution",1.19128058744
"ensemble-012","Initial Population Recruitment Penalty Contribution",4.74551220791e-07
"ensemble-012","Kludged Equilibrium Survival Penalty Contribution",0
"ensemble-012","Maximum Age Lag Fishing Mortality Penalty (all Fisheries)",0
"ensemble-012","Maximum Fishing Mortality Penalty (all Fisheries)",0
"ensemble-012","Mean length penalty",0
"ensemble-012","Movement Diffusion Coefficients Penalty Contribution",0.0539545409874
"ensemble-012","Non Spline Selectivity Curvature Penalty (all Fisheries)",0
"ensemble-012","Normal Distribution Temporal Recruitment Deviates Penalty Contribution",0
"ensemble-012","Orthogonal Polynomial Recruitment Penalty by Level:",0
"ensemble-012","Overall Mean Selectivity Penalty",0
"ensemble-012","Q dev penalty",0
"ensemble-012","Regional Recruitment Deviates Penalty Contribution",151.933156607
"ensemble-012","Regional Recruitment Distribution Penalty Contribution",0.224797567995
