"ensemble_id","cache_key","terminal_year","first_projection_year","last_projection_year","simulations","recruitment_seed","recruitment_sampling_start","recruitment_sampling_end","recent_catch_years","catch_conditioned_fisheries","tau","mixed_unit_audit_sum","catch_conditioning"
"ensemble-011","88ab37d501c220fbd3cefeee794a748301e783b6f0e0786ddfad652687827f38",2024,2025,2054,10,20260817,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-012","08765b02a984fa4d07af3738f0b585017be2d2d47a8dd124a75aa15b987896b3",2024,2025,2054,10,20260818,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-014","5cb79b75287eb365b3971e8a43b8a2605cde115e39967c8ba7f0cf5443f707d8",2024,2025,2054,10,20260820,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-015","aafb8691de7a6cf776b559ba6746a4019bbe6433ef9e5ec3676cc3a1244453a3",2024,2025,2054,10,20260821,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-016","0a4919a99790f4a2c68ccd82b512a624428f8a6a1281a71c0cbb30ec99f982bd",2024,2025,2054,10,20260822,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-017","d55bde5072146be2dce70c1d45792bc87fd087452ec116116c795d04c43bba4d",2024,2025,2054,10,20260823,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-018","159086028fd47c64a638ae7837bf07a0f28c87588e31026cfa3585403557daf7",2024,2025,2054,10,20260824,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-019","52b033ec4f1194fd906366aafcaa4b19af45290986302e97010c634522611209",2024,2025,2054,10,20260825,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-021","b649f5e47afa65ac297886da15a454880105e7fd81b57afff2209fb7b7a94df4",2024,2025,2054,10,20260827,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-022","d88845aa4418d40efcc91b550fe56957164264f4035877c079f15ad1bbd2e44a",2024,2025,2054,10,20260828,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-023","cbf6dc4fde198ba8930b951cd457d0c51e5532984885791e0381cd778cba5ad2",2024,2025,2054,10,20260829,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-024","d494621d6be2bbe06a06b09813986c99dd281807f4531a0238bc3c0f2fc82736",2024,2025,2054,10,20260830,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-025","7431d750e44dc5f08b390758ae093c59c58276821afde369673fd96c405aabe9",2024,2025,2054,10,20260831,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-027","6658db21c11d142bfa8b8470c6ef5f59246a36e6a5b3b07840d015fdf2846a28",2024,2025,2054,10,20260833,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-029","20d41f177b526818b3d7a939d5de054e76da3558c5327591509c546d8ebfc808",2024,2025,2054,10,20260835,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-030","f3af3ce22ff2fb0e62f3a1d28e058647f05cc9b6c2531f3be694da6cfd615211",2024,2025,2054,10,20260836,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-031","579c2f30398b3a2ea34a7680de1b1277ed1c8e9959376011ac3451d41d68ca8f",2024,2025,2054,10,20260837,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-032","a83d88dab1dfd65771216517725029f4a6f1209ac974ac224a7f850793c4c724",2024,2025,2054,10,20260838,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-033","31582126ca8a3d0f2c37e02cbcbedf14a1553c20e8744f938fe80a3bc09e5387",2024,2025,2054,10,20260839,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-034","f79c40c90444e80527043508c842d41a24a14bc9604ca6a2e9914699952a46b1",2024,2025,2054,10,20260840,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-035","81b7701a14ee8edee8fcf6d546da05df16f70d420dd2ad2985ed6eb7598aed0b",2024,2025,2054,10,20260841,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-036","ab7b8e99c635e755a2a2aaa70080082bb05be754c03478ff9b9b74e913e3ef3a",2024,2025,2054,10,20260842,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-037","db7cb9f49c0405ea3f0d0504da34bb06c90e0d11b9463b13d8fc736b8ab1a90e",2024,2025,2054,10,20260843,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-038","0bc35cbe4550317982a12b5a0c4f8502cb9bb7bdb71f9c19efab791b433b4ec5",2024,2025,2054,10,20260844,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-039","1cb6000ac289e8eb9331b72a88ae2efe433c7b31016f8b3f82060d0852f3f293",2024,2025,2054,10,20260845,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-040","5e4ba09971d590170ed55339751fb5edb740e4abf902c6c2258c9c6622ce829b",2024,2025,2054,10,20260846,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-041","c37c136cf6a99cf27194b5454a2eaf6abaf8a6b57ed62372484d267e1e260790",2024,2025,2054,10,20260847,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-042","d1d294d63798da5817487bf2cc1c6803338770ba5f9eefd5b1a5ca7f0a40d7bf",2024,2025,2054,10,20260848,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-043","c084544a1eb7e02f2911e58c7fd7a8cf2bb97e04063ea63d2446eef59882059f",2024,2025,2054,10,20260849,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-044","6176ba4ec028e87e1c3ff416d9bcd28d2916196c940613ca041d53c86bde4a43",2024,2025,2054,10,20260850,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-045","99aedd2081f01dbec9a2b6943cd8d5d49c7905af34dcff200d16cdc15cb1ba1d",2024,2025,2054,10,20260851,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-046","f7e3b9206db1c547c0435f2cf17adf610fb8b8d11d614b519fbb8e0de6ba49ea",2024,2025,2054,10,20260852,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-047","61d055f26563ec451b19cd34e468f22673e7c4e592852dcb5f3cbcfde122f6d6",2024,2025,2054,10,20260853,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-048","8d5b0ab1dd1d40caae1d94fd2376d3e5129eddd1919cccf5197c366405005fd8",2024,2025,2054,10,20260854,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-049","0b9d6f88ce16d360aa8ba066553c1f86f59315a64e1b9c4e66518bc83dad7704",2024,2025,2054,10,20260855,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-050","148e5674fb8f608c11e4d160493f5add155d3506aa39b13c004d546c717baf95",2024,2025,2054,10,20260856,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-051","3bde81eb64d06eced45c93d763a4a240ec6ffafda1ddcb2b46456539f514db4c",2024,2025,2054,10,20260857,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-052","cb28b38a008569e0ff65fcd76da0475564fa0d12d5e34a7e7834c8124585de37",2024,2025,2054,10,20260858,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-053","df82030535c7e87a2552851316de54ba0a0f621e4acc805d6c86d37d368e4e72",2024,2025,2054,10,20260859,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-054","c078fb63cb8150738e885a7781f1d28b5c3dca63ccfdf0808771aa4d0907637b",2024,2025,2054,10,20260860,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-055","ad34b8a782699ee3f54a73b4107df1d8cb92756e5ccf08aeadca1e4886c163c9",2024,2025,2054,10,20260861,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-056","e8b6400ac1d7fa371ea527a56ee57a3be144e871f9eb6a4a87810541685649a3",2024,2025,2054,10,20260862,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-057","2d44e9aa6bf7423ff90f8bcde182f672be5b405293d3227a3c2a5b323cb3a27e",2024,2025,2054,10,20260863,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-059","17a6be44a1439df8aaec53e5e554fcde8886d5c8bb8379a4933a84c454fe41fc",2024,2025,2054,10,20260865,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-062","f1f5d544795de01a15fe6870c91dbdab2850af8e61d14884ffdaa0032d6780d7",2024,2025,2054,10,20260868,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-063","3bea7ce33432fd743f34b6b13c4b7f857bdb49249c3ef3609f7ea4edd2559ce5",2024,2025,2054,10,20260869,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-065","5a9a3a29c2fb3d80fdfe31e1248ebe95bac26aa155a7570cbcc5a28d1915c7b5",2024,2025,2054,10,20260871,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-066","26547716a61cee67c41a59f9cd2d95a6ee014c5d6f3d46f32f4fbe432691d595",2024,2025,2054,10,20260872,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-068","853bf358cb5eddc4f678251e8a2ba5cfae106d98b44ebe5ccc014406427c9f8d",2024,2025,2054,10,20260874,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-069","6ca9cbf3f444fb958fb178ebc55fa156b1d2553e50f74d766b0791d5e4312bf6",2024,2025,2054,10,20260875,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-070","8063bf0283eceac698e1453c9358ac274940e7afb6d3e92f6323a80e097d0394",2024,2025,2054,10,20260876,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-071","3e7a54241ca7f2d836c160e5b500406b069db55eff145c2e41214b339365306a",2024,2025,2054,10,20260877,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-072","433c01c6cc9eedb65ffb716f99b18c89bc41ed96293cad569fdf116f5bbff77f",2024,2025,2054,10,20260878,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-073","09e1f98bf8b3df5b65a352150a2dba0abadca24888b5d83bcf82b19f21132bc5",2024,2025,2054,10,20260879,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-074","19c610a0cdb29bc6b945bf7b43e2e6da1bfa25efaea301c556ac9154de10e85a",2024,2025,2054,10,20260880,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-075","934ab73631eaf28d331db46f149f42773ef608b528799d8b84da4c60a22d641e",2024,2025,2054,10,20260881,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-076","bcae99eaefb51d1575f7f1c8457ec00e33f974a2c039b60ad029478f84ab56bb",2024,2025,2054,10,20260882,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-078","6427d2a171859d70d90d842aebb5aa5c9faed15a837c29b521b2e3ff449a0d3d",2024,2025,2054,10,20260884,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-079","a6b7b6a66dbfa8176f3505e488f03530f302776f8a039a1bcae4412db5e0199a",2024,2025,2054,10,20260885,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-080","a608e872e4cde50381d422633e9827f3c52df77d561df720d2d30de43ed8918a",2024,2025,2054,10,20260886,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-081","99e98a950f0a0b901cef07877a933d12fd756ca25e4ecafc34ab3d1ca72315e6",2024,2025,2054,10,20260887,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-082","b262a97327e33d6dad9aefede53d748f6519438214ea6c3148a3ea54e75605ee",2024,2025,2054,10,20260888,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-083","be1c7542bf79c76c2d68324049be83882d6a14ddbe777f7d12d404c371475f92",2024,2025,2054,10,20260889,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-084","5df6115b39a4d4c4116599057db7248b19e51de0b4baf796914bf9a7fcf2a859",2024,2025,2054,10,20260890,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-085","80da8183e8d59bd5e6df6ce06064c28d3af60b6ae28b294cb87ee5c2d689fcee",2024,2025,2054,10,20260891,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-086","0168da1ee15a98dda22c9a31f4d78e06ba04a132dc59073eb4ad11f905999b2a",2024,2025,2054,10,20260892,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-087","bf29465f19dbaaac75dde865a02f4a1d49bd76735f9eff26e23708b7df5d5512",2024,2025,2054,10,20260893,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-088","452a5eb1f9ab4c9e834609c7d70a94dab54440d6a42cd55e68e0eb4ddabd0a65",2024,2025,2054,10,20260894,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-089","8f3507356027a857f291a47950d06601c1bcfb3c70a284b2bdce39a39b00c956",2024,2025,2054,10,20260895,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-090","cb9d6d8ede446c040052f7a652509c7cb2d9afa746bcf8d596ad1691b127d5ed",2024,2025,2054,10,20260896,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-091","ba2d942fb870789fc6965bdf367a3c2e5794ce15b73b181b016b9a5b5189b319",2024,2025,2054,10,20260897,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-092","548030c7afcec2e2dd1c385551ca30f32d1d0c29084f8d8f4b02aa75e1367dda",2024,2025,2054,10,20260898,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-093","f2a770792569d327b135593974c257e7c67280f7e1f505780974e8bd58612435",2024,2025,2054,10,20260899,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-094","d7215510e2ab33aa9a7e261c3e4a47435f56d1f1800743134ddbb13c1e2e1a34",2024,2025,2054,10,20260900,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-095","592629c6d27dc56b7c09dcc729649ce3b54cae736eeea7768f2a73146ecf8e21",2024,2025,2054,10,20260901,1972,2023,"2022,2023,2024",33,1.2,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-098","21ba40be0122afc143b69156a44f92355c7f226dd5ee1952461bf0ffeac8e8d6",2024,2025,2054,10,20260904,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-099","cc34a619b51c3809b81a8c720b8e23bb12d55029edb82c0c91d87fad39455442",2024,2025,2054,10,20260905,1972,2023,"2022,2023,2024",33,1.3,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
"ensemble-100","359ed15a0ca82af0035168b20565f0f37ede5f33822ee509ac7cc8d8f3e581fc",2024,2025,2054,10,20260906,1972,2023,"2022,2023,2024",33,1.4,751493.062022,"Fishery-specific 2022-2024 mean in the original number or weight unit"
