"ensemble_id","source_archive_sha256","maximum_fished_biomass_difference_mt","maximum_fished_biomass_relative_difference"
"ensemble-081","e037af19220197ee9a953d96fb8d73ec366678888d3c1082790fc8a169e147ed",218,0.00461847283204542
"ensemble-082","2483cca88f745d71b6bb46064ea4e88c54d6c71de2d1f32a7974ae937ada8339",51.75,0.00200069589422408
"ensemble-083","0178b97a04c225605e744b96e62f3799c3600c77502739502978b238c3a25295",46.5,0.00136091254307727
"ensemble-084","50a5fffce9812264a8e72b5b503b215c6a5d3e3e85eb6fb09c229247773884ee",64.25,0.0020999133887863
"ensemble-085","5cc923a0cd90b543def753b450903566578631d788c3e820ab7b424e14396cce",57.25,0.00210945200305825
"ensemble-086","ba4322487ff46f0850c17f5451eba005ed0a531b815bf260a7f2f630bb45ea5a",57.25,0.00197454645788784
"ensemble-087","9bf0e97d0df1e98875ec4eea5a953e7b488fa132b9621d1ebc2ffb971fbebbcb",62.75,0.000959417774838791
"ensemble-088","4b1101297ea03864457cb5c3298d28d81422d034b983c4b729936866fa2b2524",146,0.00356517120757965
"ensemble-089","0cc351afae0b8c68ecc9193031ab19d6df19543f06a6585f7dce0c913200372b",37.5,0.00146713615023474
"ensemble-090","9eec01aa332e9d9c813ee0cdd9e23b5e7254f74f7c9b9b09526f7c0085b7a1ee",217,0.00240933088329179
"ensemble-091","c294aa04659abc41c602acadc38a9d161f73e3e10773e8a72de6c9c0a399b9dd",68.5,0.00196189344197736
"ensemble-092","29abfa8e02c9639cbbeca11cee19963311647240a578af6c78db0f50b4f8614a",32.25,0.00103481469597305
"ensemble-093","c65bb17eaa7eb98ae3212fd2d187684c89b754b23492528a8f0a8fe041e135e1",187.5,0.0044980478472343
"ensemble-094","aeaa028b20773b13ce72be3e87766a9faaab08b985befca076a6cd454af6ebae",197.5,0.00408830744071954
"ensemble-095","1807b543515fc80e0c14f9fa3f1c1516361b53797f8fcd9496324d6d6f14d3e2",111.75,0.00185450245814923
"ensemble-098","24cccc88cc16aae20825278670d0cc6cb1a12e73cd39ce5e10d6957eb15f49e8",75.25,0.00234430979158229
"ensemble-099","acc40ac8d0d8b6fdb34b24e0d74b45b114e186d5258dde09067e45d4d1ffaf36",123.5,0.00337371778236106
"ensemble-100","bf6123166b035f1f72dfd8b0b466ff3f4e7c72251c916d89e94aa960510028ef",43.5,0.00147395171537484
